Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,Tasa 
Del Libertador General Bernardo OHiggins,06,Coinco,06103,7831,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,06,Coltauco,06104,21263,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,06,Donihue,06105,22700,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,06,Graneros,06106,36504,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,06,La Estrella,06202,3114,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,06,Las Cabras,06107,26749,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,06,Litueche,06203,6765,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,06,Lolol,06304,7289,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,06,Machali,06108,59913,-,6,7,8,8,8,8,13.4
Del Libertador General Bernardo OHiggins,06,Malloa,06109,14163,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,06,Marchihue,06204,7632,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,06,Mostazal,06110,27462,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,06,Nancagua,06305,19141,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,06,Navidad,06205,6904,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,06,Olivar,06111,14624,-,-,-,-,-,-,6,41.0
Del Libertador General Bernardo OHiggins,06,Palmilla,06306,13299,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,06,Paredones,06206,6349,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,06,Peralillo,06307,11848,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,06,Peumo,06112,14952,-,-,-,-,-,-,1,6.7
Del Libertador General Bernardo OHiggins,06,Pichidegua,06113,20743,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,06,Pichilemu,06201,17882,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,06,Placilla,06308,9164,-,-,-,-,-,-,1,10.9
Del Libertador General Bernardo OHiggins,06,Pumanque,06309,3531,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo OHiggins,06,Quinta de Tilcoco,06114,13877,-,-,-,-,-,-,3,21.6
Del Libertador General Bernardo OHiggins,06,Rancagua,06101,265211,7,7,9,15,15,15,15,5.7
Del Libertador General Bernardo OHiggins,06,Rengo,06115,63710,-,-,-,-,-,-,1,1.6
Del Libertador General Bernardo OHiggins,06,Requinoa,06116,30371,-,-,-,-,-,-,1,3.3
Del Libertador General Bernardo OHiggins,06,San Fernando,06301,78642,-,4,4,4,4,4,4,5.1
Del Libertador General Bernardo OHiggins,06,San Vicente,06117,50617,-,-,4,4,4,4,4,7.9
Del Libertador General Bernardo OHiggins,06,Santa Cruz,06310,41096,-,0,-,-,-,-,2,4.9
Maule,07,Cauquenes,07201,44143,-,-,-,4,4,4,4,9.1
Maule,07,Chanco,07202,9331,-,-,-,-,-,-,-,0.0
Maule,07,Colbun,07402,22565,-,4,4,5,5,5,5,22.2
Maule,07,Constitucion,07102,50348,-,-,-,-,5,5,5,9.9
Maule,07,Curepto,07103,9426,-,-,-,-,-,-,3,31.8
Maule,07,Curico,07301,163626,6,8,11,13,13,17,20,12.2
Maule,07,Empedrado,07104,4206,-,-,-,-,-,-,-,0.0
Maule,07,Hualane,07302,10222,-,-,-,-,-,-,-,0.0
Maule,07,Licanten,07303,6989,-,-,-,-,-,-,-,0.0
Maule,07,Linares,07401,101073,4,6,10,11,12,13,13,12.9
Maule,07,Longavi,07403,32810,-,-,-,-,-,-,2,6.1
Maule,07,Maule,07105,60000,-,-,-,-,-,-,4,6.7
Maule,07,Molina,07304,49800,-,-,-,-,-,-,3,6.0
Maule,07,Parral,07404,44544,4,-,-,-,4,5,6,13.5
Maule,07,Pelarco,07106,9083,-,-,-,-,-,-,3,33.0
Maule,07,Pelluhue,07203,8092,-,-,-,-,-,-,1,12.4
Maule,07,Pencahue,07107,8601,-,-,-,-,-,-,-,0.0
Maule,07,Rauco,07305,11248,-,-,-,-,-,-,2,17.8
Maule,07,Retiro,07405,21071,-,-,-,-,-,-,1,4.7
Maule,07,Rio Claro,07108,14753,-,-,-,-,-,-,3,20.3
Maule,07,Romeral,07306,16170,-,-,-,-,-,-,3,18.6
Maule,07,Sagrada Familia,07307,19469,-,-,-,-,-,-,1,5.1
Maule,07,San Clemente,07109,46292,-,-,-,-,-,-,-,0.0
Maule,07,San Javier,07406,49451,-,-,-,7,7,8,8,16.2
Maule,07,San Rafael,07110,9959,-,-,-,-,-,-,2,20.1
Maule,07,Talca,07101,236724,34,37,42,48,51,51,51,21.5
Maule,07,Teno,07308,30850,-,-,-,-,-,-,1,3.2
Maule,07,Vichuquen,07309,4381,-,-,-,-,-,-,-,0.0
Maule,07,Villa Alegre,07407,17512,-,-,-,-,-,-,-,0.0
Maule,07,Yerbas Buenas,07408,19200,-,-,-,-,-,-,-,0.0
Nuble,16,Bulnes,16102,22607,12,18,32,36,45,48,48,212.3
Nuble,16,Chillan,16101,198624,114,173,240,291,327,342,355,178.7
Nuble,16,Chillan Viejo,16103,33827,13,22,26,30,34,40,44,130.1
Nuble,16,Cobquecura,16202,5275,-,-,-,-,-,-,-,0.0
Nuble,16,Coelemu,16203,16845,-,-,-,-,4,4,4,23.7
Nuble,16,Coihueco,16302,28375,-,-,-,6,7,8,11,38.8
Nuble,16,El Carmen,16104,12334,-,-,-,-,-,-,3,24.3
Nuble,16,Ninhue,16204,5414,-,-,-,-,-,-,2,36.9
Nuble,16,Niquen,16303,11567,-,-,-,-,-,-,2,17.3
Nuble,16,Pemuco,16105,8639,-,-,-,-,-,-,4,46.3
Nuble,16,Pinto,16106,11880,-,-,6,9,10,10,10,84.2
Nuble,16,Portezuelo,16205,4940,-,-,-,-,-,-,1,20.2
Nuble,16,Quillon,16107,18777,4,7,15,17,22,22,23,122.5
Nuble,16,Quirihue,16201,12192,-,-,-,-,4,4,4,32.8
Nuble,16,Ranquil,16206,6261,-,-,5,7,9,9,10,159.7
Nuble,16,San Carlos,16301,56252,8,13,13,19,28,29,31,55.1
Nuble,16,San Fabian,16304,4654,-,5,6,6,6,6,6,128.9
Nuble,16,San Ignacio,16108,16624,-,-,-,6,6,6,6,36.1
Nuble,16,San Nicolas,16305,12172,-,-,4,10,11,12,12,98.6
Nuble,16,Treguaco,16207,5696,-,-,-,-,-,-,-,0.0
Nuble,16,Yungay,16109,18596,-,7,10,26,37,38,42,225.9
Biobio,08,Alto Biobio,08314,6775,-,-,-,-,-,-,-,0.0
Biobio,08,Antuco,08302,4306,-,-,-,-,-,-,-,0.0
Biobio,08,Arauco,08202,38679,-,5,6,6,6,6,6,15.5
Biobio,08,Cabrero,08303,30725,-,-,-,-,-,4,7,22.8
Biobio,08,Canete,08203,37003,-,-,-,-,-,-,-,0.0
Biobio,08,Chiguayante,08103,91180,6,18,26,32,35,40,41,45.0
Biobio,08,Concepcion,08101,238092,28,47,53,70,73,81,92,38.6
Biobio,08,Contulmo,08204,6330,-,-,-,-,-,-,-,0.0
Biobio,08,Coronel,08102,125829,-,11,12,13,18,18,18,14.3
Biobio,08,Curanilahue,08205,33892,-,-,-,-,-,-,1,3.0
Biobio,08,Florida,08104,11841,-,-,-,-,-,-,2,16.9
Biobio,08,Hualpen,08112,97273,-,39,50,67,74,83,93,95.6
Biobio,08,Hualqui,08105,26201,-,-,-,7,7,7,8,30.5
Biobio,08,Laja,08304,23873,-,-,-,5,5,5,6,25.1
Biobio,08,Lebu,08201,27100,-,-,-,-,-,-,-,0.0
